step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
111,2022-06-30,BUY,136.72,5100,-699365.22,300634.78,5100,997906.79
112,2022-07-01,BUY,138.93,2000,-278694.12,21940.66,7100,1008343.61
113,2022-07-05,BUY,141.56,100,-14198.50,7742.17,7200,1026974.15
234,2022-12-28,SELL,126.04,7200,904767.36,912509.52,0,912509.52
235,2022-12-29,BUY,129.61,5000,-649995.45,262514.07,5000,910564.08
236,2022-12-30,BUY,129.93,1900,-247608.08,14905.99,6900,911422.94
237,2023-01-03,BUY,125.07,100,-12544.55,2361.45,7000,877851.45
341,2023-06-27,SELL,188.06,7000,1312473.36,1314834.80,0,1314834.80
423,2023-10-27,BUY,168.22,7400,-1248564.98,66269.82,7400,1311097.83
424,2023-10-30,BUY,170.29,300,-51240.36,15029.46,7700,1326262.41
462,2023-12-22,SELL,193.60,7700,1486250.87,1501280.33,0,1501280.33
