step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
72,2022-04-18,BUY,280.52,3000,-844086.33,155913.67,3000,997473.64
73,2022-04-19,BUY,285.30,500,-143078.23,12835.44,3500,1011385.40
77,2022-04-25,SELL,280.72,3500,979574.41,992409.85,0,992409.85
89,2022-05-11,BUY,260.55,2500,-653330.40,339079.45,2500,990454.42
90,2022-05-12,BUY,255.35,1200,-307339.88,31739.57,3700,976534.60
91,2022-05-13,BUY,261.12,100,-26190.39,5549.18,3800,997805.17
105,2022-06-03,SELL,270.02,3800,1022999.78,1028548.97,0,1028548.97
110,2022-06-10,BUY,252.99,2900,-735873.50,292675.47,2900,1026346.49
111,2022-06-13,BUY,242.26,1100,-267285.98,25389.49,4000,994429.46
131,2022-07-13,SELL,252.72,4000,1007849.39,1033238.87,0,1033238.87
188,2022-10-03,BUY,240.74,3900,-941704.56,91534.32,3900,1030420.34
189,2022-10-04,BUY,248.88,300,-74888.14,16646.17,4200,1061942.19
194,2022-10-11,SELL,225.41,4200,943883.74,960529.92,0,960529.92
195,2022-10-12,BUY,225.75,3500,-792496.96,168032.96,3500,958157.96
196,2022-10-13,BUY,234.24,600,-140965.92,27067.04,4100,987451.07
197,2022-10-14,BUY,228.56,100,-22924.61,4142.43,4200,964094.42
211,2022-11-03,SELL,214.25,4200,897152.25,901294.68,0,901294.68
212,2022-11-04,BUY,221.39,2800,-621752.91,279541.77,2800,899433.76
213,2022-11-07,BUY,227.87,1100,-251409.47,28132.30,3900,916825.28
214,2022-11-08,BUY,228.87,100,-22955.71,5176.59,4000,920656.57
324,2023-04-19,SELL,288.45,4000,1150340.96,1155517.55,0,1155517.55
416,2023-08-30,BUY,328.79,3300,-1088264.22,67253.33,3300,1152260.36
417,2023-08-31,BUY,327.76,100,-32874.39,34378.94,3400,1148762.97
430,2023-09-20,BUY,320.77,100,-32173.29,2205.64,3500,1124900.60
434,2023-09-26,SELL,312.14,3500,1089214.77,1091420.41,0,1091420.41
435,2023-09-27,BUY,312.79,3300,-1035305.71,56114.69,3300,1088321.72
436,2023-09-28,BUY,313.64,100,-31458.16,24656.54,3400,1091032.59
471,2023-11-16,SELL,376.17,3400,1275143.67,1299800.21,0,1299800.21
