step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
69,2022-04-27,BUY,156.57,5500,-863720.17,136279.83,5500,997414.87
70,2022-04-28,BUY,163.64,700,-114891.87,21387.96,6200,1035955.96
72,2022-05-03,BUY,159.48,100,-15995.88,5392.08,6300,1010116.06
78,2022-05-11,SELL,146.50,6300,920183.00,925575.08,0,925575.08
83,2022-05-18,BUY,140.82,4100,-579095.27,346479.81,4100,923841.84
84,2022-05-19,BUY,137.35,2300,-316853.36,29626.45,6400,908666.49
85,2022-05-20,BUY,137.59,200,-27600.61,2025.84,6600,910119.82
86,2022-05-23,SELL,143.11,6600,941694.32,943720.16,0,943720.16
103,2022-06-17,BUY,131.56,4500,-593797.23,349922.92,4500,941942.91
104,2022-06-21,BUY,135.87,2400,-327066.90,22856.02,6900,960358.98
105,2022-06-22,BUY,135.35,100,-13575.63,9280.38,7000,956730.43
109,2022-06-28,SELL,137.44,7000,959195.70,968476.09,0,968476.09
117,2022-07-11,BUY,144.87,5300,-770115.94,198360.14,5300,966171.12
127,2022-07-25,BUY,152.95,1200,-184090.98,14269.16,6500,1008444.14
177,2022-10-05,SELL,146.40,6500,948747.06,963016.22,0,963016.22
200,2022-11-08,BUY,139.50,4600,-643626.38,319389.84,4600,961089.84
201,2022-11-09,BUY,134.87,2200,-297604.72,21785.12,6800,938901.08
203,2022-11-11,BUY,149.70,100,-15014.94,6770.18,6900,1039700.16
228,2022-12-19,SELL,132.37,6900,910614.73,917384.91,0,917384.91
229,2022-12-20,BUY,132.30,4900,-650216.12,267168.79,4900,915438.80
230,2022-12-21,BUY,135.45,1800,-244541.91,22626.88,6700,930141.86
231,2022-12-22,BUY,132.23,100,-13262.70,9364.18,6800,908528.15
237,2023-01-03,SELL,125.07,6800,847926.27,857290.45,0,857290.45
238,2023-01-04,BUY,126.36,4700,-595674.87,261615.59,4700,855507.59
239,2023-01-05,BUY,125.02,1900,-238251.08,23364.50,6600,848496.48
240,2023-01-06,BUY,129.62,100,-13000.91,10363.59,6700,878817.56
344,2023-06-30,SELL,193.97,6700,1295702.81,1306066.40,0,1306066.40
