Date,fundamental_score,sentiment_score,industry_trend_score,market_risk_factor,black_swan_risk
2000-01-04,0.4086,0.0064,0.5188,0.6657,0.0592
2000-01-05,0.4371,-0.139,0.5299,0.6357,0.0539
2000-01-06,0.4451,-0.1313,0.5165,0.6341,0.039
2000-01-07,0.5152,-0.0305,0.5129,0.6806,0.0426
2000-01-10,0.4853,-0.1149,0.6669,0.6691,0.0492
2000-01-11,0.4534,-0.1959,0.6718,0.6545,0.0374
2000-01-12,0.4619,-0.0203,0.6936,0.6566,0.042
2000-01-13,0.4273,-0.0746,0.7291,0.5677,0.0324
2000-01-14,0.4388,0.0331,0.7696,0.5851,0.0257
2000-01-17,0.4445,-0.0521,0.7505,0.6179,0.0426
2000-01-18,0.4551,-0.1611,0.7551,0.674,0.0438
2000-01-19,0.4701,0.0871,0.7656,0.7181,0.0375
2000-01-20,0.4782,0.1889,0.7494,0.7229,0.0486
2000-01-21,0.521,0.1114,0.779,0.5748,0.0611
2000-01-24,0.5265,0.0485,0.7829,0.6988,0.0429
2000-01-25,0.5264,-0.088,0.7627,0.613,0.0306
2000-01-26,0.5271,-0.081,0.7157,0.7888,0.0447
2000-01-27,0.5405,0.0947,0.6844,0.7583,0.0591
2000-01-28,0.5373,0.2398,0.6257,0.5436,0.0663
2000-01-31,0.5175,0.1096,0.6666,0.7326,0.05
2000-02-01,0.5331,0.1704,0.6519,0.7418,0.0602
2000-02-02,0.5999,0.0823,0.6767,0.6972,0.0511
2000-02-03,0.5733,-0.0499,0.6523,0.5739,0.0639
2000-02-04,0.6,-0.1121,0.6625,0.6276,0.0733
2000-02-07,0.5695,0.0392,0.6506,0.7574,0.0726
2000-02-08,0.5325,-0.0634,0.5934,0.8902,0.079
2000-02-09,0.522,-0.1826,0.5989,0.7455,0.0772
2000-02-10,0.4779,-0.2944,0.6656,0.6591,0.0635
2000-02-11,0.4172,-0.1139,0.6649,0.6802,0.069
2000-02-14,0.3758,-0.2597,0.6869,0.7267,0.0528
2000-02-15,0.3463,-0.158,0.7031,0.743,0.0572
2000-02-16,0.3328,-0.2753,0.7148,0.6836,0.0529
2000-02-17,0.3619,-0.3696,0.7879,0.7719,0.0483
2000-02-18,0.4201,-0.3165,0.7338,0.6943,0.05
2000-02-21,0.4016,-0.1026,0.7748,0.6694,0.0559
2000-02-22,0.3782,-0.0223,0.825,0.7431,0.0412
2000-02-23,0.4119,-0.0411,0.7898,0.6708,0.0577
2000-02-24,0.3626,-0.0642,0.8793,0.712,0.0503
2000-02-25,0.3743,-0.2116,0.8552,0.5703,0.0372
2000-02-28,0.4443,-0.1302,0.8273,0.6098,0.0499
2000-02-29,0.4616,-0.0103,0.9032,0.4554,0.0557
2000-03-01,0.474,0.0938,0.9023,0.4691,0.0537
2000-03-02,0.5052,-0.0571,0.9382,0.4786,0.0648
2000-03-03,0.5073,0.1117,0.9257,0.2881,0.0574
2000-03-06,0.5045,0.037,0.9146,0.4127,0.0545
2000-03-07,0.5766,0.0186,0.9804,0.4227,0.0529
2000-03-08,0.5384,-0.1033,1.0,0.4035,0.0401
2000-03-09,0.5261,-0.072,1.0,0.4671,0.0447
2000-03-10,0.5047,-0.1731,0.9857,0.3849,0.0506
2000-03-13,0.4852,-0.1497,0.9346,0.4583,0.0576
2000-03-14,0.5082,-0.1591,0.9701,0.5315,0.0658
2000-03-15,0.556,0.0713,0.9338,0.5844,0.0562
2000-03-16,0.5904,0.0091,0.8833,0.5351,0.059
2000-03-17,0.5901,0.0173,0.8898,0.4584,0.0615
2000-03-20,0.5543,-0.0857,0.9455,0.3791,0.044
2000-03-21,0.5569,-0.1222,0.9236,0.4679,0.0422
2000-03-22,0.537,-0.1195,0.8897,0.7024,0.0438
2000-03-23,0.526,-0.0441,0.8362,0.6922,0.0522
2000-03-24,0.5347,0.0043,0.8638,0.7467,0.0609
2000-03-27,0.5158,0.1079,0.8601,0.6263,0.0495
2000-03-28,0.5256,0.0412,0.8445,0.6769,0.0407
2000-03-29,0.526,-0.0282,0.8846,0.7401,0.0358
2000-03-30,0.569,-0.0537,0.9045,0.7949,0.0366
2000-03-31,0.5633,-0.0812,0.8753,0.8149,0.0271
2000-04-03,0.5569,-0.0619,0.9113,0.8509,0.0406
2000-04-04,0.5869,-0.0427,0.8933,1.0,0.0443
2000-04-05,0.6154,0.0014,0.9716,1.0,0.0541
2000-04-06,0.611,-0.0535,0.9783,1.0,0.0563
2000-04-07,0.6461,-0.0707,0.9509,0.8881,0.0591
2000-04-10,0.6726,-0.0853,0.9897,0.8012,0.0612
2000-04-11,0.6558,0.0724,0.9771,0.7716,0.0695
2000-04-12,0.6631,0.0442,0.9334,0.7165,0.0754
2000-04-13,0.6574,-0.0498,0.9276,0.8046,0.0818
2000-04-14,0.6967,-0.0385,0.8455,0.6775,0.0837
2000-04-17,0.7487,-0.0056,0.8414,0.8241,0.0693
2000-04-18,0.77,0.0426,0.8849,0.6965,0.0769
2000-04-19,0.7366,0.0654,0.8628,0.6076,0.0631
2000-04-20,0.7553,-0.0136,0.9365,0.4643,0.0518
2000-04-21,0.7611,-0.1074,0.9472,0.5506,0.0363
2000-04-24,0.7614,0.0618,0.9939,0.5121,0.0286
2000-04-25,0.7592,-0.0425,0.9806,0.4965,0.0254
2000-04-26,0.7589,0.2619,0.9918,0.3222,0.0238
2000-04-27,0.7579,0.1915,0.936,0.4211,0.0446
2000-04-28,0.754,0.2282,0.9697,0.3793,0.0572
2000-05-01,0.7409,0.0044,0.9551,0.5686,0.0488
2000-05-02,0.6914,0.0823,0.9593,0.3682,0.0525
2000-05-03,0.6987,-0.0715,0.9961,0.3239,0.0413
2000-05-04,0.6632,-0.2173,0.9754,0.2772,0.0429
2000-05-05,0.655,-0.1614,0.9563,0.3533,0.0551
2000-05-08,0.6614,-0.1614,0.951,0.4152,0.0545
2000-05-09,0.7198,-0.162,0.957,0.422,0.0555
2000-05-10,0.7188,-0.2688,0.9683,0.4402,0.0484
2000-05-11,0.7195,-0.3364,0.9234,0.5342,0.0542
2000-05-12,0.6852,-0.4122,0.9465,0.4564,0.0409
2000-05-15,0.7104,-0.3546,0.8945,0.4574,0.0428
2000-05-16,0.7713,-0.1363,0.9127,0.6309,0.0568
2000-05-17,0.683,-0.0863,0.8882,0.7413,0.0485
2000-05-18,0.6949,-0.0019,0.8982,0.9412,0.0534
2000-05-19,0.7371,0.0884,0.954,0.9866,0.0648
2000-05-22,0.734,0.2138,1.0,1.0,0.0751
2000-05-23,0.7445,0.2204,0.9662,0.9597,0.0587
2000-05-24,0.7867,0.2893,0.9671,1.0,0.0478
2000-05-25,0.8089,0.2592,0.9475,1.0,0.0438
2000-05-26,0.7939,0.1296,0.9258,1.0,0.0461
2000-05-29,0.7577,0.1707,0.9253,1.0,0.0564
2000-05-30,0.7793,0.1089,1.0,0.9235,0.0648
2000-05-31,0.7376,0.1396,1.0,1.0,0.0604
2000-06-01,0.7521,0.2503,0.9959,1.0,0.0658
2000-06-02,0.8024,0.1199,0.9224,0.9657,0.0601
2000-06-05,0.785,0.1151,0.9627,0.7472,0.0704
2000-06-06,0.8613,-0.1113,0.9954,0.7013,0.0576
2000-06-07,0.9127,-0.2095,1.0,0.7723,0.0429
2000-06-08,0.8952,-0.2606,0.9775,0.7995,0.0506
2000-06-09,0.8558,-0.3017,0.9605,0.9336,0.0498
2000-06-12,0.8284,-0.3023,0.924,0.8327,0.0465
2000-06-13,0.8151,-0.1476,0.9067,0.7106,0.0555
2000-06-14,0.8341,-0.2312,0.9211,0.5342,0.0402
2000-06-15,0.7735,-0.167,0.8998,0.6913,0.0422
2000-06-16,0.8168,-0.3321,0.8883,0.5476,0.0552
2000-06-19,0.8563,-0.2524,0.8705,0.6439,0.0543
2000-06-20,0.8335,-0.2917,0.9145,0.6019,0.055
2000-06-21,0.7703,-0.1783,0.9681,0.6086,0.0472
2000-06-22,0.7517,-0.1671,1.0,0.655,0.061
2000-06-23,0.7387,-0.0786,0.9492,0.7244,0.0581
