step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
71,2022-04-29,BUY,157.65,5100,-806428.62,193571.38,5100,997586.35
72,2022-05-03,BUY,159.48,1100,-175954.63,17616.75,6200,1006392.72
73,2022-05-04,BUY,166.02,100,-16651.84,964.91,6300,1046890.94
78,2022-05-11,SELL,146.50,6300,920183.00,921147.90,0,921147.90
79,2022-05-12,BUY,142.56,4100,-586250.65,334897.26,4100,919393.25
80,2022-05-13,BUY,147.11,2100,-309858.41,25038.85,6200,937120.85
81,2022-05-16,BUY,145.54,100,-14597.69,10441.15,6300,927343.11
82,2022-05-17,SELL,149.24,6300,937393.28,947834.43,0,947834.43
98,2022-06-10,BUY,137.13,4400,-605183.34,342651.09,4400,946023.11
99,2022-06-13,SELL,131.88,4400,578532.37,921183.46,0,921183.46
112,2022-07-01,BUY,138.93,4700,-654931.18,266252.27,4700,919223.24
113,2022-07-05,BUY,141.56,1700,-241374.43,24877.84,6400,930861.82
114,2022-07-06,SELL,142.92,6400,911945.75,936823.59,0,936823.59
115,2022-07-07,BUY,146.35,5000,-733946.74,202876.85,5000,934626.88
116,2022-07-08,BUY,147.04,1300,-191725.83,11151.02,6300,937502.98
126,2022-07-22,SELL,154.09,6300,967856.62,979007.64,0,979007.64
130,2022-07-28,BUY,157.35,5800,-915369.75,63637.88,5800,976267.92
131,2022-07-29,SELL,162.51,5800,939732.18,1003370.06,0,1003370.06
132,2022-08-01,BUY,161.51,5800,-939570.12,63799.95,5800,1000557.92
133,2022-08-02,SELL,160.01,5800,925275.65,989075.60,0,989075.60
142,2022-08-15,BUY,173.19,5400,-938033.56,51042.04,5400,986268.05
143,2022-08-16,BUY,173.03,200,-34709.89,16332.15,5600,985300.14
151,2022-08-26,SELL,163.62,5600,913524.99,929857.14,0,929857.14
152,2022-08-29,BUY,161.38,5400,-874068.13,55789.01,5400,927241.04
153,2022-08-30,BUY,158.91,300,-47816.12,7972.90,5700,913759.92
163,2022-09-15,SELL,152.37,5700,865905.18,873878.08,0,873878.08
165,2022-09-19,BUY,154.48,5000,-774718.72,99159.36,5000,871559.34
166,2022-09-20,BUY,156.90,500,-78685.50,20473.85,5500,883423.82
167,2022-09-21,BUY,153.72,100,-15418.15,5055.71,5600,865887.71
173,2022-09-29,SELL,142.48,5600,795495.91,800551.61,0,800551.61
174,2022-09-30,BUY,138.20,4200,-582182.47,218369.15,4200,798809.13
175,2022-10-03,BUY,142.45,1400,-200028.68,18340.46,5600,816060.45
176,2022-10-04,BUY,146.10,100,-14653.86,3686.60,5700,836456.64
200,2022-11-08,SELL,139.50,5700,792766.14,796452.74,0,796452.74
201,2022-11-09,BUY,134.87,3800,-514044.52,282408.22,3800,794914.20
202,2022-11-10,SELL,146.87,3800,556432.78,838841.00,0,838841.00
205,2022-11-15,BUY,150.04,3900,-586912.61,251928.39,3900,837084.36
206,2022-11-16,BUY,148.79,1600,-238778.66,13149.73,5500,831494.69
214,2022-11-29,SELL,141.17,5500,774107.24,787256.97,0,787256.97
215,2022-11-30,BUY,148.03,3900,-579050.10,208206.87,3900,785523.86
216,2022-12-01,BUY,148.31,1300,-193381.79,14825.07,5200,786037.06
218,2022-12-05,SELL,146.63,5200,760190.12,775015.20,0,775015.20
