step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
39,2024-02-28,BUY,181.42,5200,-946216.03,53783.97,5200,997167.96
40,2024-02-29,BUY,180.75,200,-36258.52,17525.45,5400,993575.45
43,2024-03-05,SELL,170.12,5400,915893.87,933419.32,0,933419.32
44,2024-03-06,BUY,169.12,5200,-882064.01,51355.31,5200,930779.28
45,2024-03-07,BUY,169.00,200,-33901.47,17453.84,5400,930053.84
75,2024-04-19,BUY,165.00,100,-16549.53,904.31,5500,908404.31
104,2024-05-31,SELL,192.25,5500,1054204.99,1055109.30,0,1055109.30
105,2024-06-03,BUY,194.03,5100,-992523.63,62585.67,5100,1052138.66
106,2024-06-04,BUY,194.35,300,-58480.03,4105.63,5400,1053595.67
120,2024-06-25,SELL,209.07,5400,1125593.36,1129699.00,0,1129699.00
123,2024-06-28,BUY,210.62,5000,-1056261.38,73437.62,5000,1126537.59
124,2024-07-01,BUY,216.75,300,-65220.21,8217.41,5300,1156992.41
134,2024-07-16,SELL,234.82,5300,1240814.89,1249032.30,0,1249032.30
161,2024-08-22,BUY,224.53,5200,-1171061.00,77971.30,5200,1245527.30
162,2024-08-23,SELL,226.84,5200,1176031.64,1254002.94,0,1254002.94
165,2024-08-28,BUY,226.49,5200,-1181283.63,72719.31,5200,1250467.34
166,2024-08-29,SELL,229.79,5200,1191325.63,1264044.94,0,1264044.94
181,2024-09-20,BUY,228.20,5200,-1190202.28,73842.67,5200,1260482.65
183,2024-09-24,BUY,227.37,300,-68415.77,5426.90,5500,1255961.87
190,2024-10-03,SELL,225.67,5500,1237463.92,1242890.81,0,1242890.81
205,2024-10-24,BUY,230.57,5100,-1179437.11,63453.70,5100,1239360.74
206,2024-10-25,BUY,231.41,200,-46420.94,17032.77,5300,1243505.78
207,2024-10-28,SELL,233.40,5300,1233311.38,1250344.15,0,1250344.15
222,2024-11-18,BUY,228.02,5200,-1189263.51,61080.64,5200,1246784.66
228,2024-11-26,SELL,235.06,5200,1218647.50,1279728.14,0,1279728.14
237,2024-12-10,BUY,247.77,4900,-1217717.67,62010.47,4900,1276083.49
238,2024-12-11,BUY,246.49,200,-49445.99,12564.48,5100,1269663.50
244,2024-12-19,SELL,249.79,5100,1270109.73,1282674.20,0,1282674.20
247,2024-12-24,BUY,258.20,4700,-1217183.10,65491.10,4700,1279031.15
249,2024-12-27,BUY,255.59,200,-51271.46,14219.64,4900,1266610.62
252,2025-01-02,SELL,243.85,4900,1191282.82,1205502.47,0,1205502.47
271,2025-01-31,BUY,236.00,4800,-1136200.67,69301.80,4800,1202101.80
273,2025-02-04,BUY,232.80,200,-46699.77,22602.03,5000,1186602.04
277,2025-02-10,SELL,227.65,5000,1134837.50,1157439.52,0,1157439.52
279,2025-02-12,BUY,236.87,4600,-1092872.96,64566.56,4600,1154168.54
280,2025-02-13,SELL,241.53,4600,1107707.10,1172273.66,0,1172273.66
318,2025-04-09,BUY,198.85,5500,-1096958.25,75315.42,5500,1168990.45
319,2025-04-10,BUY,190.42,300,-57297.49,18017.93,5800,1122453.91
349,2025-05-23,SELL,195.27,5800,1129170.59,1147188.52,0,1147188.52
368,2025-06-23,BUY,201.50,5400,-1091366.48,55822.04,5400,1143922.04
369,2025-06-24,BUY,200.30,200,-40180.26,15641.78,5600,1137321.80
