step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
40,2022-03-02,BUY,166.56,5600,-935536.06,64463.94,5600,997199.93
41,2022-03-03,BUY,166.23,300,-50018.71,14445.23,5900,995202.21
44,2022-03-08,SELL,157.44,5900,926111.18,940556.42,0,940556.42
53,2022-03-21,BUY,165.38,5300,-879145.32,61411.10,5300,937925.12
54,2022-03-22,BUY,168.82,300,-50798.04,10613.06,5600,956005.10
78,2022-04-26,SELL,156.80,5600,875447.53,886060.59,0,886060.59
79,2022-04-27,BUY,156.57,5300,-832312.16,53748.43,5300,883569.47
80,2022-04-28,BUY,163.64,300,-49239.37,4509.05,5600,920893.05
89,2022-05-11,SELL,146.50,5600,817940.44,822449.49,0,822449.49
92,2022-05-16,BUY,145.54,5300,-773677.59,48771.90,5300,820133.87
93,2022-05-17,BUY,149.24,300,-44906.41,3865.49,5600,839609.53
95,2022-05-19,SELL,137.35,5600,766854.09,770719.59,0,770719.59
96,2022-05-20,BUY,137.59,5300,-731416.12,39303.47,5300,768530.45
97,2022-05-23,BUY,143.11,200,-28707.92,10595.54,5500,797700.55
114,2022-06-16,SELL,130.06,5500,713185.43,723780.97,0,723780.97
115,2022-06-17,BUY,131.56,5200,-686165.69,37615.28,5200,721727.27
116,2022-06-21,BUY,135.87,200,-27255.58,10359.70,5400,744057.68
153,2022-08-12,SELL,172.10,5400,926553.87,936913.58,0,936913.58
187,2022-09-30,BUY,138.20,6400,-887135.19,49778.39,6400,934258.37
188,2022-10-03,BUY,142.45,300,-42863.29,6915.10,6700,961330.08
247,2022-12-27,SELL,130.03,6700,868589.13,875504.23,0,875504.23
252,2023-01-04,BUY,126.36,6500,-823805.67,51698.56,6500,873038.57
253,2023-01-05,BUY,125.02,300,-37618.59,14079.97,6800,864215.95
254,2023-01-06,BUY,129.62,100,-13000.91,1079.06,6900,895457.02
374,2023-06-30,SELL,193.97,6900,1334380.51,1335459.56,0,1335459.56
406,2023-08-16,BUY,176.57,7100,-1257410.50,78049.06,7100,1331696.12
407,2023-08-17,BUY,174.00,400,-69808.94,8240.12,7500,1313240.12
456,2023-10-26,SELL,166.89,7500,1247922.47,1256162.60,0,1256162.60
460,2023-11-01,BUY,173.97,6800,-1186547.36,69615.24,6800,1252611.24
461,2023-11-02,BUY,177.57,300,-53430.92,16184.31,7100,1276931.37
499,2023-12-28,SELL,193.58,7100,1370297.51,1386481.82,0,1386481.82
535,2024-02-21,BUY,182.32,7200,-1316644.79,69837.03,7200,1382541.08
536,2024-02-22,BUY,184.37,300,-55477.04,14359.99,7500,1397134.95
544,2024-03-05,SELL,170.12,7500,1272074.82,1286434.80,0,1286434.80
545,2024-03-06,BUY,169.12,7200,-1221319.39,65115.41,7200,1282779.38
546,2024-03-07,BUY,169.00,300,-50852.20,14263.21,7500,1281763.21
618,2024-06-20,SELL,209.68,7500,1567885.29,1582148.50,0,1582148.50
