step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
44,2024-09-03,BUY,409.44,2300,-944539.03,55460.97,2300,997172.98
45,2024-09-04,BUY,408.90,100,-41012.75,14448.22,2400,995808.21
51,2024-09-12,SELL,427.00,2400,1021727.65,1036175.87,0,1036175.87
59,2024-09-24,BUY,429.17,2200,-947008.44,89167.43,2200,1033341.46
60,2024-09-25,BUY,432.11,100,-43340.72,45826.72,2300,1039679.68
61,2024-09-26,BUY,431.31,100,-43260.48,2566.24,2400,1037710.23
63,2024-09-30,SELL,430.30,2400,1029623.88,1032190.11,0,1032190.11
66,2024-10-03,BUY,416.54,2300,-960918.06,71272.05,2300,1029314.07
67,2024-10-04,SELL,416.06,2300,954069.09,1025341.15,0,1025341.15
68,2024-10-07,BUY,409.54,2300,-944769.73,80571.42,2300,1022513.44
69,2024-10-08,SELL,414.71,2300,950973.39,1031544.80,0,1031544.80
73,2024-10-14,BUY,419.14,2300,-966916.03,64628.78,2300,1028650.81
76,2024-10-17,SELL,416.72,2300,955582.55,1020211.33,0,1020211.33
86,2024-10-31,BUY,406.35,2300,-937410.70,82800.63,2300,1017405.64
87,2024-11-01,BUY,410.37,100,-41160.19,41640.44,2400,1026528.43
95,2024-11-13,SELL,425.20,2400,1017420.63,1059061.07,0,1059061.07
109,2024-12-04,BUY,437.42,2200,-965212.93,93848.14,2200,1056172.17
110,2024-12-05,BUY,442.62,200,-88789.75,5058.39,2400,1067346.38
125,2024-12-27,SELL,430.53,2400,1030174.25,1035232.64,0,1035232.64
130,2025-01-06,BUY,427.85,2200,-944095.71,91136.94,2200,1032406.95
132,2025-01-08,SELL,424.56,2200,931231.77,1022368.70,0,1022368.70
147,2025-01-31,BUY,415.06,2300,-957503.82,64864.88,2300,1019502.88
148,2025-02-03,BUY,410.92,100,-41215.36,23649.52,2400,1009857.56
157,2025-02-14,SELL,408.43,2400,977293.25,1000942.77,0,1000942.77
166,2025-02-28,BUY,396.99,2300,-915818.03,85124.74,2300,998201.71
167,2025-03-03,BUY,388.49,200,-77931.25,7193.49,2500,978418.47
185,2025-03-27,SELL,390.58,2500,973522.57,980716.06,0,980716.06
191,2025-04-04,BUY,359.84,2500,-902300.59,78415.47,2500,978015.46
192,2025-04-07,BUY,357.86,200,-71786.86,6628.61,2700,972850.57
209,2025-05-01,SELL,425.40,2700,1145136.54,1151765.15,0,1151765.15
225,2025-05-23,BUY,450.18,2400,-1083675.44,68089.71,2400,1148521.70
226,2025-05-27,BUY,460.69,100,-46207.30,21882.41,2500,1173607.42
244,2025-06-23,SELL,486.00,2500,1211357.43,1233239.84,0,1233239.84
246,2025-06-25,BUY,492.27,2300,-1135619.90,97619.94,2300,1229840.92
247,2025-06-26,SELL,497.45,2300,1140704.91,1238324.85,0,1238324.85
