step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
44,2024-09-03,BUY,108.00,8700,-942420.68,57579.32,8700,997179.32
45,2024-09-04,SELL,106.21,8700,921256.76,978836.08,0,978836.08
47,2024-09-06,BUY,102.83,9000,-928248.28,50587.80,9000,976057.82
48,2024-09-09,BUY,106.47,400,-42715.85,7871.95,9400,1008689.96
91,2024-11-07,SELL,148.88,9400,1395276.43,1403148.38,0,1403148.38
98,2024-11-18,BUY,140.15,9500,-1335421.88,67726.50,9500,1399151.44
99,2024-11-19,SELL,147.01,9500,1392407.96,1460134.46,0,1460134.46
107,2024-12-02,BUY,138.63,9900,-1376557.10,83577.35,9900,1456014.40
109,2024-12-04,BUY,145.14,500,-72787.85,10789.50,10400,1520245.49
111,2024-12-06,SELL,142.44,10400,1476934.86,1487724.36,0,1487724.36
112,2024-12-09,BUY,138.81,10100,-1406189.72,81534.64,10100,1483515.61
113,2024-12-10,BUY,135.07,500,-67737.74,13796.89,10600,1445538.97
115,2024-12-12,SELL,137.34,10600,1451439.46,1465236.35,0,1465236.35
116,2024-12-13,BUY,134.25,10300,-1386926.09,78310.26,10300,1461085.26
120,2024-12-19,BUY,130.68,500,-65536.15,12774.12,10800,1424118.04
143,2025-01-27,SELL,118.42,10800,1275101.73,1287875.85,0,1287875.85
175,2025-03-13,BUY,115.58,10500,-1217233.22,70642.63,10500,1284232.65
176,2025-03-14,BUY,121.67,500,-61017.63,9625.00,11000,1347994.98
177,2025-03-17,SELL,119.53,11000,1310888.13,1320513.13,0,1320513.13
178,2025-03-18,BUY,115.43,10800,-1250386.43,70126.70,10800,1316770.71
186,2025-03-28,SELL,109.67,10800,1180885.04,1251011.74,0,1251011.74
188,2025-04-01,BUY,110.15,10700,-1182143.19,68868.55,10700,1247473.57
189,2025-04-02,BUY,110.42,500,-55375.74,13492.81,11200,1250196.79
190,2025-04-03,SELL,101.80,11200,1136741.83,1150234.65,0,1150234.65
191,2025-04-04,BUY,94.31,11500,-1087820.84,62413.81,11500,1146978.79
192,2025-04-07,BUY,97.64,600,-58759.87,3653.94,12100,1185097.94
232,2025-06-04,SELL,141.92,12100,1712083.72,1715737.66,0,1715737.66
