step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
96,2022-05-20,BUY,252.56,2500,-633295.46,366704.54,2500,998104.54
97,2022-05-23,BUY,260.65,1300,-339862.20,26842.34,3800,1017312.32
106,2022-06-06,SELL,268.75,3800,1018188.29,1045030.63,0,1045030.63
110,2022-06-10,BUY,252.99,2900,-735873.50,309157.13,2900,1042828.15
111,2022-06-13,BUY,242.26,1200,-291584.71,17572.42,4100,1010838.40
144,2022-08-01,SELL,278.01,4100,1136423.80,1153996.22,0,1153996.22
161,2022-08-24,BUY,275.79,3900,-1078809.93,75186.29,3900,1150767.33
162,2022-08-25,BUY,278.85,200,-55937.42,19248.87,4100,1162533.90
166,2022-08-31,SELL,261.47,4100,1068813.07,1088061.94,0,1088061.94
167,2022-09-01,BUY,260.40,3900,-1018608.69,69453.25,3900,1085013.23
168,2022-09-02,BUY,256.06,200,-51365.74,18087.51,4100,1067933.50
176,2022-09-15,SELL,245.38,4100,1003041.86,1021129.37,0,1021129.37
177,2022-09-16,BUY,244.74,3900,-957351.39,63777.98,3900,1018264.00
178,2022-09-19,BUY,244.52,200,-49050.81,14727.17,4100,1017259.19
193,2022-10-10,SELL,229.25,4100,937107.10,951834.28,0,951834.28
194,2022-10-11,BUY,225.41,3400,-768694.73,183139.55,3400,949533.56
195,2022-10-12,BUY,225.75,700,-158499.39,24640.16,4100,950215.16
197,2022-10-14,BUY,228.56,100,-22924.61,1715.55,4200,961667.53
211,2022-11-03,SELL,214.25,4200,897152.25,898867.79,0,898867.79
212,2022-11-04,BUY,221.39,2800,-621752.91,277114.88,2800,897006.88
213,2022-11-07,BUY,227.87,1100,-251409.47,25705.41,3900,914398.39
214,2022-11-08,BUY,228.87,100,-22955.71,2749.71,4000,918229.69
316,2023-04-06,SELL,291.60,4000,1162903.16,1165652.86,0,1165652.86
325,2023-04-20,BUY,286.11,3800,-1090481.77,75171.09,3800,1162389.04
326,2023-04-21,BUY,285.76,200,-57323.57,17847.52,4000,1160887.56
334,2023-05-03,SELL,304.40,4000,1213949.61,1231797.13,0,1231797.13
432,2023-09-22,BUY,317.01,3600,-1144662.03,87135.10,3600,1228371.14
433,2023-09-25,BUY,317.54,200,-63698.65,23436.45,3800,1230088.48
467,2023-11-10,SELL,369.67,3800,1400534.62,1423971.07,0,1423971.07
