step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
46,2024/9/5,BUY,222.38,4200,-936799.88,63200.12,4200,997196.14
47,2024/9/6,BUY,220.82,200,-44296.58,18903.54,4400,990511.57
88,2024/11/4,SELL,222.01,4400,973915.4,992818.94,0,992818.94
90,2024/11/6,BUY,222.72,4200,-938232.15,54586.79,4200,990010.8
91,2024/11/7,BUY,227.48,200,-45632.58,8954.21,4400,1009866.19
93,2024/11/11,SELL,224.23,4400,983654.12,992608.33,0,992608.33
94,2024/11/12,BUY,224.23,4200,-944593.16,48015.17,4200,989781.15
95,2024/11/13,BUY,225.12,200,-45159.16,2856.01,4400,993383.99
96,2024/11/14,SELL,228.22,4400,1001157.51,1004013.52,0,1004013.52
98,2024/11/18,BUY,228.02,4100,-937688.53,66324.98,4100,1001207
99,2024/11/19,BUY,228.28,200,-45793.06,20531.92,4300,1002135.92
106,2024/11/29,SELL,237.33,4300,1017459.49,1037991.42,0,1037991.42
139,2025/1/21,BUY,222.64,4400,-982556.8,55434.61,4400,1035050.61
140,2025/1/22,BUY,223.83,200,-44900.39,10534.22,4600,1040152.23
142,2025/1/24,SELL,222.78,4600,1021715.68,1032249.9,0,1032249.9
143,2025/1/27,BUY,229.86,4200,-968310.17,63939.73,4200,1029351.74
144,2025/1/28,BUY,238.26,200,-47795.05,16144.68,4400,1064488.66
147,2025/1/31,SELL,236,4400,1035286.88,1051431.56,0,1051431.56
176,2025/3/14,BUY,213.49,4600,-985002.15,66429.41,4600,1048483.43
177,2025/3/17,BUY,214,200,-42928.49,23500.92,4800,1050700.92
178,2025/3/18,BUY,212.69,100,-21332.85,2168.07,4900,1044349.09
180,2025/3/20,SELL,214.1,4900,1045944.86,1048112.93,0,1048112.93
190,2025/4/3,BUY,203.19,4800,-978239.9,69873.03,4800,1045185.05
191,2025/4/4,SELL,188.38,4800,901513.16,971386.19,0,971386.19
193,2025/4/8,BUY,172.42,5300,-916569.3,54816.9,5300,968642.89
194,2025/4/9,BUY,198.85,200,-39889.39,14927.51,5500,1108602.54
197,2025/4/14,SELL,202.52,5500,1110520.67,1125448.18,0,1125448.18
213,2025/5/7,BUY,196.25,5400,-1062931.37,62516.81,5400,1122266.81
214,2025/5/8,BUY,197.49,300,-59424.86,3091.95,5700,1128784.98
239,2025/6/30,SELL,205.71,5700,1172560.94,1172560.94,0,1172560.94
