BAC_step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
39,2024-08-26,BUY,39.92,23700,-948944.16,51055.84,23700,997159.80
46,2024-09-05,BUY,40.14,1200,-48312.60,2743.24,24900,1002229.22
98,2024-11-18,SELL,46.72,24900,1159840.37,1162583.61,0,1162583.61
100,2024-11-20,BUY,46.06,23900,-1104138.74,58444.88,23900,1159278.91
101,2024-11-21,SELL,46.46,23900,1107065.02,1165509.89,0,1165509.89
102,2024-11-22,BUY,47.00,23500,-1107815.71,57694.18,23500,1162194.18
104,2024-11-26,SELL,47.75,23500,1118760.87,1176455.05,0,1176455.05
126,2024-12-30,BUY,43.91,25400,-1118662.17,57792.88,25400,1173106.88
127,2024-12-31,BUY,43.95,1200,-52898.33,4894.56,26600,1173964.58
129,2025-01-03,BUY,44.81,100,-4494.45,400.11,26700,1196827.14
136,2025-01-15,SELL,47.10,26700,1253799.76,1254199.87,0,1254199.87
171,2025-03-07,BUY,41.40,28700,-1191746.96,62452.91,28700,1250632.95
172,2025-03-10,BUY,39.83,1400,-55929.40,6523.51,30100,1205406.57
173,2025-03-11,BUY,39.61,100,-3972.89,2550.62,30200,1198772.64
190,2025-04-03,SELL,37.22,30200,1120674.15,1123224.77,0,1123224.77
191,2025-04-04,BUY,34.39,30900,-1065841.06,57383.71,30900,1120034.69
192,2025-04-07,BUY,35.58,1500,-53530.22,3853.49,32400,1156645.55
193,2025-04-08,BUY,35.03,100,-3513.52,339.98,32500,1138814.94
206,2025-04-28,SELL,39.78,32500,1288974.00,1289313.97,0,1289313.97
207,2025-04-29,BUY,39.99,30500,-1223356.58,65957.40,30500,1285652.45
208,2025-04-30,BUY,39.88,1500,-59999.58,5957.82,32000,1282117.85
209,2025-05-01,SELL,40.17,32000,1281586.19,1287544.01,0,1287544.01
210,2025-05-02,BUY,41.07,29700,-1223440.77,64103.24,29700,1283882.23
211,2025-05-05,SELL,41.12,29700,1217602.62,1281705.86,0,1281705.86
212,2025-05-06,BUY,40.84,29700,-1216589.27,65116.59,29700,1278064.59
213,2025-05-07,BUY,40.93,1500,-61579.31,3537.28,31200,1280553.29
216,2025-05-12,SELL,43.36,31200,1348776.23,1352313.51,0,1352313.51
217,2025-05-13,BUY,44.28,28900,-1283533.60,68779.91,28900,1348471.87
218,2025-05-14,BUY,44.74,1400,-62824.04,5955.87,30300,1361577.92
219,2025-05-15,BUY,44.38,100,-4451.32,1504.55,30400,1350656.58
220,2025-05-16,SELL,44.69,30400,1354502.95,1356007.50,0,1356007.50
