NVDA_step,date,type,price,shares,cost/proceeds,balance,shares_held,net_worth
44,2024-09-03,BUY,108.00,8700,-942420.68,57579.32,8700,997179.32
45,2024-09-04,BUY,106.21,500,-53264.42,4314.90,9200,981446.89
70,2024-10-09,SELL,132.65,9200,1216721.24,1221036.14,0,1221036.14
71,2024-10-10,BUY,134.81,8500,-1149324.93,71711.22,8500,1217596.20
72,2024-10-11,SELL,134.80,8500,1142364.92,1214076.14,0,1214076.14
73,2024-10-14,BUY,138.07,8300,-1149421.30,64654.84,8300,1210635.90
74,2024-10-15,BUY,131.60,400,-52798.03,11856.81,8700,1156776.87
91,2024-11-07,SELL,148.88,8700,1291372.86,1303229.68,0,1303229.68
152,2025-02-07,BUY,129.84,9500,-1237182.87,66046.81,9500,1299526.77
153,2025-02-10,BUY,133.57,400,-53588.39,12458.41,9900,1334801.48
158,2025-02-18,SELL,139.40,9900,1375922.52,1388380.93,0,1388380.93
175,2025-03-13,BUY,115.58,11400,-1321567.49,66813.44,11400,1384425.46
176,2025-03-14,SELL,121.67,11400,1382879.64,1449693.08,0,1449693.08
178,2025-03-18,BUY,115.43,11900,-1377740.60,71952.48,11900,1445569.48
179,2025-03-19,BUY,117.52,500,-58936.40,13016.08,12400,1470264.04
180,2025-03-20,BUY,118.53,100,-11888.58,1127.50,12500,1482752.48
186,2025-03-28,SELL,109.67,12500,1366765.09,1367892.59,0,1367892.59
188,2025-04-01,BUY,110.15,11700,-1292623.86,75268.73,11700,1364023.75
189,2025-04-02,BUY,110.42,600,-66450.89,8817.84,12300,1366983.82
190,2025-04-03,SELL,101.80,12300,1248386.12,1257203.97,0,1257203.97
192,2025-04-07,BUY,97.64,12200,-1194784.00,62419.97,12200,1253627.96
193,2025-04-08,BUY,96.30,600,-57953.46,4466.51,12800,1237106.55
239,2025-06-13,SELL,141.97,12800,1811768.00,1816234.51,0,1816234.51
